Date,CPI
1982-12-01,63.2611
1983-01-01,63.1666
1983-02-01,63.2539
1983-03-01,63.3746
1983-04-01,63.5727
1983-05-01,63.6272
1983-06-01,63.8901
1983-07-01,63.7656
1983-08-01,63.9373
1983-09-01,64.0167
1983-10-01,64.17
1983-11-01,64.5766
1983-12-01,64.6126
1984-01-01,64.8447
1984-02-01,65.0788
1984-03-01,65.502
1984-04-01,65.5984
1984-05-01,65.4621
1984-06-01,65.6728
1984-07-01,65.5566
1984-08-01,65.7892
1984-09-01,65.7491
1984-10-01,66.1649
1984-11-01,66.5103
1984-12-01,66.4889
1985-01-01,67.1389
1985-02-01,67.6866
1985-03-01,68.0631
1985-04-01,67.9801
1985-05-01,67.9329
1985-06-01,67.8994
1985-07-01,67.7544
1985-08-01,67.7398
1985-09-01,67.9487
1985-10-01,68.1178
1985-11-01,68.5995
1985-12-01,68.6419
1986-01-01,68.6127
1986-02-01,68.5958
1986-03-01,68.6804
1986-04-01,68.6428
1986-05-01,68.4336
1986-06-01,68.4199
1986-07-01,68.0967
1986-08-01,68.228
1986-09-01,68.3467
1986-10-01,68.3634
1986-11-01,68.5325
1986-12-01,68.6694
1987-01-01,69.0667
1987-02-01,69.2694
1987-03-01,69.3662
1987-04-01,69.4528
1987-05-01,69.068
1987-06-01,69.2885
1987-07-01,69.3063
1987-08-01,69.5758
1987-09-01,69.4104
1987-10-01,69.7165
1987-11-01,69.9701
1987-12-01,69.9652
1988-01-01,70.1438
1988-02-01,70.4865
1988-03-01,70.6497
1988-04-01,70.7846
1988-05-01,70.6127
1988-06-01,70.7226
1988-07-01,70.5614
1988-08-01,70.8076
1988-09-01,70.8259
1988-10-01,70.9391
1988-11-01,71.1996
1988-12-01,71.3286
1989-01-01,71.7196
1989-02-01,72.0801
1989-03-01,72.2738
1989-04-01,72.6542
1989-05-01,72.7044
1989-06-01,72.8286
1989-07-01,72.6674
1989-08-01,72.9087
1989-09-01,73.2258
1989-10-01,73.5152
1989-11-01,74.3639
1989-12-01,74.9106
1990-01-01,75.3515
1990-02-01,75.5959
1990-03-01,75.8562
1990-04-01,76.0123
1990-05-01,76.3819
1990-06-01,76.4884
1990-07-01,76.526
1990-08-01,77.3441
1990-09-01,77.7116
1990-10-01,78.1849
1990-11-01,78.8672
1990-12-01,78.863
1991-01-01,79.5029
1991-02-01,80.2932
1991-03-01,80.3057
1991-04-01,80.4985
1991-05-01,81.1779
1991-06-01,81.5113
1991-07-01,81.5395
1991-08-01,81.9637
1991-09-01,82.1225
1991-10-01,82.1951
1991-11-01,83.1825
1991-12-01,82.985
1992-01-01,83.3753
1992-02-01,83.9704
1992-03-01,84.2157
1992-04-01,84.35
1992-05-01,84.5723
1992-06-01,84.9083
1992-07-01,84.6528
1992-08-01,84.8742
1992-09-01,84.9742
1992-10-01,85.0976
1992-11-01,85.9162
1992-12-01,85.8238
1993-01-01,86.264
1993-02-01,86.8177
1993-03-01,87.28
1993-04-01,87.5452
1993-05-01,87.5966
1993-06-01,87.5742
1993-07-01,87.5199
1993-08-01,87.9514
1993-09-01,87.8974
1993-10-01,87.9629
1993-11-01,87.8444
1993-12-01,87.9542
1994-01-01,88.0571
1994-02-01,88.4146
1994-03-01,88.416
1994-04-01,88.4621
1994-05-01,87.913
1994-06-01,88.0514
1994-07-01,88.0362
1994-08-01,88.3819
1994-09-01,88.4176
1994-10-01,88.3448
1994-11-01,88.3385
1994-12-01,88.3237
1995-01-01,88.9508
1995-02-01,89.7438
1995-03-01,89.7989
1995-04-01,89.8744
1995-05-01,89.7051
1995-06-01,89.8831
1995-07-01,89.8225
1995-08-01,90.1071
1995-09-01,90.1842
1995-10-01,90.0864
1995-11-01,90.0193
1995-12-01,90.0443
1996-01-01,90.3014
1996-02-01,90.446
1996-03-01,90.6057
1996-04-01,90.6935
1996-05-01,90.3623
1996-06-01,90.5386
1996-07-01,90.412
1996-08-01,90.6458
1996-09-01,90.6986
1996-10-01,90.8432
1996-11-01,90.6761
1996-12-01,90.7479
1997-01-01,91.051
1997-02-01,91.2106
1997-03-01,91.0794
1997-04-01,91.1671
1997-05-01,90.8834
1997-06-01,90.9747
1997-07-01,90.8758
1997-08-01,91.076
1997-09-01,91.0742
1997-10-01,91.081
1997-11-01,91.0541
1997-12-01,91.0985
1998-01-01,91.065
1998-02-01,91.1768
1998-03-01,91.1095
1998-04-01,91.1465
1998-05-01,90.9583
1998-06-01,91.0665
1998-07-01,90.9441
1998-08-01,91.2031
1998-09-01,91.1304
1998-10-01,91.1122
1998-11-01,90.9644
1998-12-01,90.945
1999-01-01,91.1314
1999-02-01,91.4394
1999-03-01,91.535
1999-04-01,91.6877
1999-05-01,91.482
1999-06-01,91.5893
1999-07-01,91.6125
1999-08-01,92.0659
1999-09-01,92.2398
1999-10-01,92.2389
1999-11-01,92.1509
1999-12-01,92.462
2000-01-01,92.5762
